param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,timeouts
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.335,-2.235,-7.634999999999999,56.478217585,19.565,13.6,200,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.31862745098039214,-2.426470588235294,-7.826470588235294,78.28962696078432,21.794117647058822,16.073529411764707,204,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,123,0.3008130081300813,-2.569105691056911,-7.96910569105691,44.93814004878048,13.991869918699187,10.504065040650406,123,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,142,0.323943661971831,-2.5704225352112675,-7.970422535211267,41.833818112676056,15.183098591549296,11.816901408450704,142,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.30456852791878175,-2.583756345177665,-7.983756345177664,57.67898507614213,19.101522842639593,14.131979695431472,197,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.33,-2.625,-8.025,73.025367565,21.455,15.71,200,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,146,0.2945205479452055,-2.835616438356164,-8.235616438356164,43.36842610958904,15.773972602739725,12.034246575342467,146,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,144,0.3333333333333333,-2.8541666666666665,-8.254166666666666,49.05737734027778,17.25,13.409722222222221,144,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,144,0.3263888888888889,-2.923611111111111,-8.323611111111111,69.83788605555554,21.583333333333332,15.729166666666666,144,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,140,0.2357142857142857,-3.0285714285714285,-8.428571428571429,35.08463242857143,14.407142857142857,10.692857142857143,140,0
