param_name,trigger_model,trade_side,setup_family,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,med_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.2127329192546584,1.9782608695652173,-3.421739130434783,6.559691596273292,3.715152,7.055900621118012,4.366459627329193,11,0,0,633,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.2127329192546584,1.970496894409938,-3.429503105590063,6.588396925465839,3.722651,7.055900621118012,4.417701863354037,9,0,0,635,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.20496894409937888,1.7282608695652173,-3.671739130434783,6.370585933229814,3.610026,6.89751552795031,4.267080745341615,33,0,0,611,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.22955523672883787,1.5136298421807748,-3.8863701578192256,7.012527167862267,3.962076,7.117647058823529,4.746054519368723,18,0,0,679,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.21191135734072022,1.4016620498614958,-3.9983379501385046,6.6642301274238225,3.49276,7.085872576177286,4.481994459833795,16,0,0,706,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.19501466275659823,1.0161290322580645,-4.383870967741935,7.053821517595307,3.797111,6.936950146627566,5.146627565982405,19,0,0,663,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.06756756756756757,-3.731081081081081,-9.131081081081081,101.49228750135136,45.273609,25.722972972972972,13.564864864864864,690,0,0,0,50
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.08322496749024708,-3.7516254876462938,-9.151625487646292,117.80463821066321,48.697171,25.66710013003901,12.7815344603381,705,0,0,0,64
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.08322496749024708,-3.7516254876462938,-9.151625487646292,117.80463821066321,48.697171,25.66710013003901,12.7815344603381,705,0,0,0,64
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.08945260347129506,-4.142857142857143,-9.542857142857143,117.66442226969292,46.98031,24.56475300400534,13.399198931909213,682,0,0,0,67
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.08945260347129506,-4.142857142857143,-9.542857142857143,117.66442226969292,46.98031,24.56475300400534,13.399198931909213,682,0,0,0,67
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.06631989596879063,-4.771131339401821,-10.17113133940182,168.01959726918076,73.245277,29.456436931079324,15.968790637191157,718,0,0,0,51
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.06675567423230974,-5.070761014686249,-10.470761014686248,163.6965632189586,71.173368,28.27636849132176,16.496662216288385,699,0,0,0,50
