Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Sell,1,25289.25,4/13/2026 9:36:02 AM,4ea241ebd5154a4b987195656a338524,Exit,-,369591f808044407952234a7de09ec63,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25294.25,4/13/2026 9:35:50 AM,3cc8eaf5597e46e38876a90294828476,Entry,1 L,b390dbe09f9640f7aca1d67db428384a,ABSORPTION_153054,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25289.75,4/13/2026 9:30:41 AM,60ec51c72eed482497ec475bf970895f,Exit,-,b4d38ae012124f06b1090fc11b2ab0d3,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25294.75,4/13/2026 9:30:09 AM,d1b49ee2f0cc48d4a0301273bb763b41,Entry,1 L,d8ea1d81e8884a8d98ebf28b30348b11,ABSORPTION_153051,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25287.50,4/13/2026 9:24:34 AM,ccc86dd1d3ac4462b4c782358add8cce,Exit,-,d872f6f667864ea6b4077c7714ddce25,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25282.50,4/13/2026 9:24:24 AM,531f37fc9f3f49a3ac1ccf4f38c72055,Entry,1 S,171d6a9b6a684d8981353b995c7cadf1,ABSORPTION_153048,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25268.75,4/13/2026 9:16:05 AM,dc02864fc083461fa0410df1832e8a14,Exit,-,112de9e707644bd3abe08fe2da9ccbdd,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25263.75,4/13/2026 9:16:02 AM,ae6cd7ba896346f1bc34ec91e7536106,Entry,1 S,4d1c35c2520e4919a3b0f40208c3075f,ABSORPTION_153043,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25310.75,4/13/2026 9:05:09 AM,33fcdbfb8f11480888dcdd10c8e58707,Exit,-,077c3dc1f8c544709916aabc95afcf43,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25315.75,4/13/2026 9:05:08 AM,69a2533f57e44c5e97cf492543029c16,Entry,1 L,18489f79d6c04855817f7576ff66d326,ABSORPTION_153036,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25268.75,4/13/2026 8:54:59 AM,d7200bd9ef48431696083dba9eb2f10e,Exit,-,c1ec6cd23e184c648d34d1a20783de55,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25260.75,4/13/2026 8:54:53 AM,71d81b0dd10f4a05a23fca6f373803e8,Entry,1 L,e35c7c29e91545898fcfa678d83b3805,ABSORPTION_153029,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25191.00,4/13/2026 8:41:02 AM,47f792decc4649bfa0187f1660219010,Exit,-,7ca446445fd5443595965b8550bc0568,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25196.00,4/13/2026 8:40:57 AM,083c2897508e48a4978ba231aca3dc3d,Entry,1 L,e3926129388a4724bd638fcc1cc2c89f,ABSORPTION_153017,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25217.25,4/13/2026 8:29:47 AM,ca3d1addbccf4bc5ac7db011abbbbe6d,Exit,-,9caffbf911124cc088e1893714afb57b,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25209.25,4/13/2026 8:29:21 AM,163245c0f9a14eadae9b4d1de28b6ab2,Entry,1 L,3bac0dc5415d454c99c21188e09e88cb,ABSORPTION_153007,$0.00,1,Playback101,Playback,
