NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,'CGScalpingStrategyNT8Native_v4_2_Hybrid.DisplayName': property or indexer must have at least one accessor,CS0548,1469,26,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,A local or parameter named 'target' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,CS0136,1077,11,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,A local or parameter named 'stop' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,CS0136,1078,11,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,A local or parameter named 'maxHold' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,CS0136,1079,8,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes',CS0229,244,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.Contracts' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.Contracts',CS0229,247,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionTarget' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionTarget',CS0229,250,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionStop' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionStop',CS0229,251,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionMaxHold' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionMaxHold',CS0229,252,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionMinAggressor' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionMinAggressor',CS0229,253,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionRatio' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.AbsorptionRatio',CS0229,254,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutTarget' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutTarget',CS0229,257,5,
