entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 06:56:46,2025-10-17 06:56:48,short,choppy,24586.5,24587.75,-10.0,2,choppy_breakout_ask@24580.00,stop_loss
2025-10-17 06:57:21,2025-10-17 06:57:23,short,choppy,24575.75,24577.0,-10.0,2,choppy_breakout_ask@24570.00,stop_loss
2025-10-17 06:57:51,2025-10-17 06:57:59,short,choppy,24580.25,24581.5,-10.0,7,choppy_breakout_ask@24570.00,stop_loss
2025-10-17 06:58:12,2025-10-17 06:58:20,short,choppy,24581.25,24582.5,-10.0,8,choppy_breakout_ask@24572.00,stop_loss
2025-10-17 06:58:42,2025-10-17 06:58:49,short,choppy,24586.5,24584.0,20.0,7,choppy_breakout_ask@24588.00,profit_target
2025-10-17 06:58:57,2025-10-17 06:59:02,short,choppy,24585.25,24582.75,20.0,5,choppy_breakout_ask@24575.00,profit_target
2025-10-17 06:59:47,2025-10-17 06:59:49,short,choppy,24581.5,24582.75,-10.0,2,choppy_breakout_ask@24575.00,stop_loss
2025-10-17 07:00:02,2025-10-17 07:00:09,short,choppy,24580.5,24581.75,-10.0,7,choppy_breakout_ask@24575.00,stop_loss
2025-10-17 07:00:17,2025-10-17 07:00:20,long,choppy,24583.5,24582.25,-10.0,3,choppy_breakout_bid@24571.25,stop_loss
2025-10-17 07:00:22,2025-10-17 07:00:24,long,choppy,24580.75,24583.25,20.0,2,choppy_breakout_bid@24571.25,profit_target
2025-10-17 07:00:47,2025-10-17 07:00:49,short,choppy,24581.5,24582.75,-10.0,2,choppy_breakout_ask@24580.00,stop_loss
2025-10-17 07:00:57,2025-10-17 07:01:01,long,choppy,24586.75,24585.5,-10.0,4,choppy_breakout_bid@24579.75,stop_loss
2025-10-17 07:01:27,2025-10-17 07:01:29,short,choppy,24569.25,24570.5,-10.0,2,choppy_breakout_ask@24579.50,stop_loss
2025-10-17 07:01:32,2025-10-17 07:01:35,short,choppy,24572.5,24570.0,20.0,3,choppy_breakout_ask@24579.50,profit_target
2025-10-17 07:01:37,2025-10-17 07:01:51,long,choppy,24568.0,24566.75,-10.0,14,choppy_breakout_bid@24577.50,stop_loss
2025-10-17 07:02:07,2025-10-17 07:02:11,long,choppy,24565.25,24564.0,-10.0,4,choppy_breakout_bid@24577.75,stop_loss
2025-10-17 07:04:17,2025-10-17 07:04:23,long,choppy,24560.75,24563.25,20.0,6,choppy_breakout_bid@24573.25,profit_target
2025-10-17 07:04:27,2025-10-17 07:04:33,long,choppy,24566.25,24568.75,20.0,6,choppy_breakout_bid@24573.75,profit_target
2025-10-17 07:04:37,2025-10-17 07:04:39,long,choppy,24566.75,24565.5,-10.0,2,choppy_breakout_bid@24573.75,stop_loss
2025-10-17 07:05:52,2025-10-17 07:06:02,long,choppy,24559.0,24561.5,20.0,10,choppy_breakout_bid@24570.00,profit_target
2025-10-17 07:06:17,2025-10-17 07:06:18,long,choppy,24558.75,24557.5,-10.0,1,choppy_breakout_bid@24570.00,stop_loss
2025-10-17 07:06:47,2025-10-17 07:06:53,long,choppy,24558.25,24557.0,-10.0,6,choppy_breakout_bid@24568.00,stop_loss
2025-10-17 07:07:02,2025-10-17 07:07:09,long,choppy,24556.25,24555.0,-10.0,7,choppy_breakout_bid@24568.00,stop_loss
2025-10-17 07:23:07,2025-10-17 07:23:09,long,choppy,24490.75,24493.25,20.0,2,choppy_breakout_bid@24500.00,profit_target
2025-10-17 07:23:32,2025-10-17 07:23:38,long,choppy,24491.75,24490.5,-10.0,6,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 07:27:42,2025-10-17 07:27:53,long,choppy,24499.75,24498.5,-10.0,11,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 07:28:32,2025-10-17 07:28:34,long,choppy,24490.5,24489.25,-10.0,2,choppy_breakout_bid@24500.00,stop_loss
