entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-10 09:00:06,2025-10-10 09:00:27,short,25337.5,25338.75,-10.0,20,breakout_ask_wall@25350.00,stop_loss
2025-10-10 09:01:18,2025-10-10 09:01:23,short,25298.75,25300.0,-10.0,5,breakout_ask_wall@25310.00,stop_loss
2025-10-10 09:01:43,2025-10-10 09:01:45,short,25308.5,25309.75,-10.0,2,breakout_ask_wall@25315.00,stop_loss
2025-10-10 09:01:53,2025-10-10 09:01:56,long,25316.75,25315.5,-10.0,3,breakout_bid_wall@25309.00,stop_loss
2025-10-10 09:03:03,2025-10-10 09:03:08,long,25308.75,25311.25,20.0,5,breakout_bid_wall@25303.25,profit_target
2025-10-10 09:03:33,2025-10-10 09:03:42,short,25314.75,25316.0,-10.0,9,breakout_ask_wall@25320.00,stop_loss
2025-10-10 09:06:59,2025-10-10 09:07:03,long,25318.5,25317.25,-10.0,4,breakout_bid_wall@25306.50,stop_loss
2025-10-10 09:10:43,2025-10-10 09:11:10,long,25319.0,25317.75,-10.0,27,breakout_bid_wall@25306.50,stop_loss
2025-10-10 09:16:49,2025-10-10 09:16:57,long,25314.75,25313.5,-10.0,7,breakout_bid_wall@25308.00,stop_loss
2025-10-10 09:17:15,2025-10-10 09:17:16,short,25315.25,25316.5,-10.0,1,breakout_ask_wall@25315.00,stop_loss
2025-10-10 09:20:03,2025-10-10 09:20:12,long,25305.25,25304.0,-10.0,9,breakout_bid_wall@25303.50,stop_loss
2025-10-10 09:21:28,2025-10-10 09:21:31,short,25308.5,25309.75,-10.0,3,breakout_ask_wall@25314.00,stop_loss
2025-10-10 09:22:10,2025-10-10 09:22:32,long,25314.0,25316.5,20.0,21,breakout_bid_wall@25301.75,profit_target
2025-10-10 09:23:26,2025-10-10 09:23:34,short,25316.0,25317.25,-10.0,8,breakout_ask_wall@25311.00,stop_loss
2025-10-10 09:25:38,2025-10-10 09:25:55,short,25310.0,25307.5,20.0,17,breakout_ask_wall@25311.00,profit_target
2025-10-10 09:26:23,2025-10-10 09:26:30,short,25304.75,25306.0,-10.0,7,breakout_ask_wall@25311.00,stop_loss
2025-10-10 09:27:37,2025-10-10 09:28:28,long,25305.75,25304.5,-10.0,47,breakout_bid_wall@25294.50,stop_loss
2025-10-10 09:28:36,2025-10-10 09:29:08,long,25305.0,25307.5,20.0,32,breakout_bid_wall@25293.00,profit_target
2025-10-10 09:29:22,2025-10-10 09:29:57,short,25305.25,25302.75,20.0,33,breakout_ask_wall@25311.00,profit_target
2025-10-10 09:30:09,2025-10-10 09:30:31,long,25297.75,25296.5,-10.0,22,breakout_bid_wall@25289.00,stop_loss
2025-10-10 09:30:34,2025-10-10 09:30:37,short,25296.75,25294.25,20.0,3,breakout_ask_wall@25307.25,profit_target
2025-10-10 09:31:19,2025-10-10 09:31:37,long,25295.0,25297.5,20.0,17,breakout_bid_wall@25290.00,profit_target
2025-10-10 09:32:46,2025-10-10 09:33:02,long,25306.5,25305.25,-10.0,16,breakout_bid_wall@25300.00,stop_loss
2025-10-10 09:33:16,2025-10-10 09:33:18,long,25302.5,25305.0,20.0,2,breakout_bid_wall@25300.00,profit_target
2025-10-10 09:33:26,2025-10-10 09:33:33,long,25303.5,25306.0,20.0,7,breakout_bid_wall@25300.00,profit_target
2025-10-10 09:33:56,2025-10-10 09:34:21,long,25300.5,25299.25,-10.0,23,breakout_bid_wall@25300.00,stop_loss
2025-10-10 09:34:28,2025-10-10 09:34:30,long,25302.25,25301.0,-10.0,1,breakout_bid_wall@25300.00,stop_loss
2025-10-10 09:34:44,2025-10-10 09:34:47,long,25300.25,25299.0,-10.0,3,breakout_bid_wall@25300.00,stop_loss
2025-10-10 09:34:49,2025-10-10 09:35:35,long,25299.5,25302.0,20.0,46,breakout_bid_wall@25300.00,profit_target
2025-10-10 09:36:23,2025-10-10 09:36:30,long,25300.25,25299.0,-10.0,6,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:37:10,2025-10-10 09:37:19,long,25296.0,25294.75,-10.0,9,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:38:07,2025-10-10 09:38:26,long,25294.0,25292.75,-10.0,19,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:38:52,2025-10-10 09:38:56,long,25292.5,25291.25,-10.0,4,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:39:12,2025-10-10 09:39:17,long,25294.25,25293.0,-10.0,5,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:39:32,2025-10-10 09:40:11,long,25292.0,25294.5,20.0,39,breakout_bid_wall@25295.00,profit_target
2025-10-10 09:40:22,2025-10-10 09:40:25,long,25294.0,25292.75,-10.0,3,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:40:27,2025-10-10 09:40:29,long,25292.75,25291.5,-10.0,2,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:40:37,2025-10-10 09:40:45,long,25288.25,25287.0,-10.0,8,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:40:57,2025-10-10 09:41:29,long,25290.25,25289.0,-10.0,31,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:41:44,2025-10-10 09:41:57,long,25289.5,25288.25,-10.0,12,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:42:51,2025-10-10 09:43:07,long,25286.5,25289.0,20.0,16,breakout_bid_wall@25295.00,profit_target
2025-10-10 09:43:21,2025-10-10 09:43:28,long,25290.5,25289.25,-10.0,7,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:44:22,2025-10-10 09:44:38,long,25285.25,25287.75,20.0,16,breakout_bid_wall@25295.00,profit_target
2025-10-10 09:44:42,2025-10-10 09:44:52,long,25288.0,25286.75,-10.0,10,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:46:18,2025-10-10 09:46:19,long,25292.5,25291.25,-10.0,1,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:46:23,2025-10-10 09:46:26,long,25291.25,25290.0,-10.0,3,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:46:28,2025-10-10 09:46:51,long,25289.0,25287.75,-10.0,21,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:46:56,2025-10-10 09:47:23,long,25288.0,25290.5,20.0,26,breakout_bid_wall@25295.00,profit_target
2025-10-10 09:47:42,2025-10-10 09:47:45,long,25291.0,25289.75,-10.0,3,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:48:12,2025-10-10 09:48:16,long,25286.25,25285.0,-10.0,4,breakout_bid_wall@25295.00,stop_loss
